price,crime_rate,resid_area,air_qual,room_num,age,teachers,poor_prop,n_hos_beds,n_hot_rooms,rainfall,avg_dist,airport_YES,waterbody_Lake,waterbody_Lake and River,waterbody_River
34.9,0.0330381790767973,32.95,0.428,7.024,15.8,21.7,1.98,6.198,15.2792,20,5.4025,1,0,0,1
26.6,0.1199495759011185,36.91,0.448,6.77,2.9,22.1,4.84,7.732,13.2128,30,5.7225,0,0,1,0
25.3,0.1323431869877131,36.91,0.448,6.169,6.6,22.1,5.81,8.106,15.2024,52,5.7225,0,0,0,1
24.7,0.1478681287245753,36.91,0.448,6.211,6.5,22.1,7.44,6.094,15.1976,56,5.72,1,0,0,1
21.2,0.1157275913439704,36.91,0.448,6.069,40.0,22.1,9.55,9.024,12.1696,53,5.7225,0,0,0,1
19.3,0.1582166881149534,36.91,0.448,5.682,33.8,22.1,10.21,8.086,11.1544,21,5.1025,0,0,0,1
20.0,0.1725742053390746,36.91,0.448,5.786,33.3,22.1,14.15,9.3,12.16,39,5.1,1,1,0,0
16.6,0.2064204972609395,36.91,0.448,6.03,85.5,22.1,18.8,5.332,12.1328,44,5.69,1,0,0,1
14.4,0.2262347685752403,36.91,0.448,5.399,95.3,22.1,30.81,7.088,14.1152,34,5.87,0,0,0,0
19.4,0.1986623163820069,36.91,0.448,5.602,62.0,22.1,16.2,5.988,13.1552,45,6.0875,0,0,1,0
19.7,0.0850118793258391,35.64,0.439,5.963,45.7,23.2,13.45,7.9990000000000006,11.1576,21,6.815,1,0,0,1
20.5,0.0424558590363923,35.64,0.439,6.115,63.0,23.2,9.43,7.01,11.164,30,6.8175,1,1,0,0
25.0,0.0522128714469343,35.64,0.439,6.511,21.1,23.2,5.28,9.9,14.2,56,6.8175,0,0,0,1
23.4,0.0486091954146221,35.64,0.439,5.998,21.4,23.2,8.43,9.168,11.1872,41,6.815,0,0,0,1
18.9,0.0135083500247923,34.0,0.41,5.888,47.6,18.9,14.8,8.678,15.1512,55,7.3175,1,0,0,0
35.4,0.0130248077226894,31.22,0.403,7.249,21.9,22.1,4.81,7.508,13.2832,50,8.6975,1,0,0,1
24.7,0.0203416976579146,30.74,0.41,6.383,35.7,22.7,5.77,5.794,15.1976,22,9.1875,1,1,0,0
31.6,0.0142184372375556,31.32,0.411,6.816,40.5,24.9,3.95,7.432,15.2528,45,8.325,1,1,0,0
23.3,0.1436240400828754,35.13,0.453,6.145,29.2,20.3,6.86,7.866,14.1864,22,7.815,0,0,0,0
19.6,0.0982875611839452,35.13,0.453,5.927,47.2,20.3,9.22,6.192,14.1568,20,6.93,1,0,0,0
18.7,0.1391704631379713,35.13,0.453,5.741,66.2,20.3,13.15,7.974,11.1496,30,7.225,0,0,0,1
16.0,0.158464220263388,35.13,0.453,5.966,93.4,20.3,14.44,6.22,15.128,48,6.82,0,0,0,1
22.2,0.1046032289886448,35.13,0.453,6.456,67.8,20.3,6.73,5.844,10.1776,56,7.225,1,0,0,0
25.0,0.1191154808901621,35.13,0.453,6.762,43.4,20.3,9.5,5.9,13.2,28,7.982500000000001,1,0,1,0
33.0,0.0193221197140369,31.38,0.4161,7.104,59.5,21.4,8.05,8.26,10.264,30,9.2225,1,0,1,0
23.5,0.0352126917557425,33.37,0.398,6.29,17.8,23.9,4.67,9.47,12.188,20,6.6125,0,0,0,1
19.4,0.0428583198019006,33.37,0.398,5.787,31.1,23.9,10.24,8.988,11.1552,44,6.61,0,0,1,0
22.0,0.0562763582766247,36.07,0.409,5.878,21.4,21.1,8.1,7.14,13.176,29,6.4975,1,0,0,1
17.4,0.1271083087153749,36.07,0.409,5.594,36.8,21.1,13.09,8.848,15.1392,40,6.4975,0,0,0,1
20.9,0.1205879869885934,36.07,0.409,5.885,33.0,21.1,8.79,8.318,11.1672,56,6.5,0,1,0,0
24.2,0.0845800904730633,40.81,0.413,6.417,6.6,20.8,6.72,9.784,14.1936,38,5.285,1,0,0,1
21.7,0.1473504678499022,40.81,0.413,5.961,17.5,20.8,9.88,10.034,13.1736,46,5.2875000000000005,0,0,1,0
22.8,0.0876811526398337,40.81,0.413,6.065,7.8,20.8,5.52,5.856,10.1824,20,5.2875000000000005,0,0,0,1
23.4,0.1784724919723238,40.81,0.413,6.245,6.2,20.8,7.54,5.968,12.1872,45,5.2875,1,1,0,0
24.1,0.075997614226465,42.83,0.437,6.273,6.0,21.3,6.78,7.882,10.1928,40,4.2525,0,0,0,1
21.4,0.0908639463051198,42.83,0.437,6.286,45.0,21.3,8.94,6.028,10.1712,28,4.505,0,0,0,0
20.0,0.0967001224772135,42.83,0.437,6.279,74.5,21.3,11.97,7.3,12.16,22,4.0525,0,0,0,0
20.8,0.0834860034897503,42.83,0.437,6.14,45.8,21.3,10.27,5.916,11.1664,57,4.09,1,0,0,1
21.2,0.0549236964958992,42.83,0.437,6.232,53.7,21.3,12.34,8.824,15.1696,53,5.015,1,1,0,0
20.3,0.0805379696264709,42.83,0.437,5.874,36.6,21.3,9.1,6.406,15.1624,37,4.5025,0,0,1,0
28.0,0.040306661759134,34.86,0.426,6.727,33.5,21.0,5.29,6.46,14.224,54,5.4,1,1,0,0
23.9,0.0436531829214031,34.86,0.426,6.619,70.4,21.0,7.22,5.578,12.1912,49,5.4025,1,1,0,0
24.8,0.0359364798043054,34.86,0.426,6.302,32.2,21.0,6.72,6.096,10.1984,20,5.4025,0,0,0,1
22.9,0.0348940589773206,34.86,0.426,6.167,46.7,21.0,7.51,7.558,10.1832,34,5.4,1,1,0,0
23.9,0.049351911121969,34.49,0.449,6.389,48.0,21.5,9.62,6.678,14.1912,23,4.78,0,1,0,0
26.6,0.0557657779058572,34.49,0.449,6.63,56.1,21.5,6.53,9.732,12.2128,56,4.44,0,0,0,1
22.5,0.050579039368154,34.49,0.449,6.015,45.1,21.5,12.86,5.95,11.18,50,4.4275,1,0,0,1
22.2,0.0690688685990977,34.49,0.449,6.121,56.8,21.5,8.44,7.244,12.1776,43,3.7475,1,0,0,0
23.6,0.0550562057480783,33.41,0.489,7.007,86.3,22.2,5.5,6.972,10.1888,28,3.42,0,0,0,1
28.7,0.0516622263237937,33.41,0.489,7.079,63.1,22.2,5.7,7.574,15.2296,31,3.415,1,0,0,0
22.6,0.0457761026365835,33.41,0.489,6.417,66.1,22.2,8.81,7.352,15.1808,58,3.0925,1,1,0,0
22.0,0.0385666531488166,33.41,0.489,6.405,73.9,22.2,8.2,8.24,13.176,23,3.0925,0,0,0,1
22.9,0.0411707337036766,45.04,0.464,6.442,53.6,21.8,8.16,9.158,14.1832,60,3.665,0,1,0,0
25.0,0.0283444730091425,45.04,0.464,6.211,28.9,21.8,6.21,10.3,14.2,46,3.6675,0,0,1,0
20.6,0.0420436479976793,45.04,0.464,6.249,77.3,21.8,10.59,5.712,13.1648,54,3.615,0,0,1,0
28.4,0.115148457088922,32.89,0.445,6.625,57.8,22.0,6.65,9.968,14.2272,46,3.495,0,0,0,1
21.4,0.1088902787080716,32.89,0.445,6.163,69.6,22.0,11.34,10.228,12.1712,21,3.495,0,0,0,1
38.7,0.1140694822777303,32.89,0.445,8.069,76.0,22.0,4.21,6.274,12.3096,53,3.495,1,0,0,1
43.8,0.0786910253316488,32.89,0.445,7.82,36.9,22.0,3.57,10.876,10.3504,25,3.4975,1,0,1,0
33.2,0.0663493805415339,32.89,0.445,7.416,62.5,22.0,6.19,6.564,13.2656,31,3.4975,0,0,0,1
27.5,0.1385960455902577,38.56,0.52,6.727,79.9,19.1,9.42,9.65,15.22,24,2.7775,1,1,0,0
26.5,0.1082443533976388,38.56,0.52,6.781,71.3,19.1,7.67,7.23,10.212,58,2.8575000000000004,1,0,0,1
18.6,0.2060055307981068,38.56,0.52,6.405,85.4,19.1,10.63,6.772,13.1488,57,2.715,0,0,1,0
19.3,0.1919500536859109,38.56,0.52,6.137,87.4,19.1,13.44,6.886,14.1544,36,2.7125,1,0,0,0
20.1,0.1306773236416161,38.56,0.52,6.167,90.0,19.1,12.33,7.102,10.1608,20,2.4225000000000003,1,0,0,0
19.5,0.1245335330265603,38.56,0.52,5.851,96.7,19.1,16.47,7.89,13.156,57,2.105,1,0,0,0
19.5,0.15802886422491,38.56,0.52,5.836,91.9,19.1,18.66,10.29,14.156,20,2.21,1,1,0,0
20.4,0.1232524952993025,38.56,0.52,6.127,85.2,19.1,14.09,6.008,14.1632,57,2.1225,1,0,1,0
19.8,0.1204638834151376,38.56,0.52,6.474,97.1,19.1,12.27,8.596,10.1584,48,2.435,0,0,1,0
19.4,0.2339885313543719,38.56,0.52,6.229,91.2,19.1,15.55,9.788,14.1552,41,2.545,1,0,0,0
21.7,0.1024934094340411,38.56,0.52,6.195,54.4,19.1,13.0,6.934,10.1736,37,2.7775000000000003,1,0,0,0
22.8,0.0960735247460641,40.01,0.547,6.715,81.6,22.2,10.16,5.656,13.1824,34,2.675,1,0,0,1
18.8,0.1162618792844445,40.01,0.547,5.913,92.9,22.2,16.21,7.9990000000000006,15.1504,35,2.3525,1,0,0,1
18.7,0.2005870556007992,40.01,0.547,6.092,95.4,22.2,17.09,10.074,10.1496,59,2.5475,1,0,0,1
18.5,0.1330525279871514,40.01,0.547,6.254,84.2,22.2,10.45,6.67,12.148,39,2.255,0,0,1,0
18.3,0.1581483926002349,40.01,0.547,5.928,88.2,22.2,15.76,7.566,11.1464,24,2.4625000000000004,0,0,0,0
21.2,0.1236148861993021,40.01,0.547,6.176,72.5,22.2,12.04,6.524,13.1696,23,2.73,0,0,0,0
19.2,0.1406137533941645,40.01,0.547,6.021,82.6,22.2,10.3,9.484,15.1536,28,2.7475,0,0,1,0
20.4,0.1227307753803169,40.01,0.547,5.872,73.1,22.2,15.37,8.008,14.1632,40,2.4775,1,0,0,1
19.3,0.1351950080486887,40.01,0.547,5.731,65.2,22.2,13.61,10.186,11.1544,20,2.7575000000000003,1,0,0,1
22.0,0.0667142774622037,55.65,0.581,5.87,69.7,20.9,14.37,7.84,10.176,23,2.2575,1,0,0,1
20.3,0.0691995168010044,55.65,0.581,6.004,84.1,20.9,14.27,9.706,10.1624,39,2.1975,1,0,1,0
20.5,0.0889170600217153,55.65,0.581,5.961,92.9,20.9,17.93,8.91,10.164,51,2.09,1,0,0,0
17.3,0.140092322576218,55.65,0.581,5.856,97.0,20.9,25.41,9.146,10.1384,51,1.945,1,1,0,0
18.8,0.0939365094783795,55.65,0.581,5.879,95.8,20.9,17.58,6.276,13.1504,56,2.0075000000000003,0,0,0,1
21.4,0.1561657909834433,55.65,0.581,5.986,88.4,20.9,14.81,8.128,14.1712,22,1.99,1,1,0,0
15.7,0.3273954526862417,55.65,0.581,5.613,95.6,20.9,27.26,7.714,10.1256,42,1.755,0,1,0,0
16.2,0.2304368901416751,51.89,0.624,5.693,96.0,18.8,17.19,5.924,15.1296,31,1.7875,1,0,0,0
18.0,0.2817369350921531,51.89,0.624,6.431,98.8,18.8,15.39,8.16,14.144,41,1.815,0,0,0,0
14.3,0.6319364495150489,51.89,0.624,5.637,94.7,18.8,18.34,7.886,10.1144,30,1.9825,1,1,0,0
19.2,0.2927143890798025,51.89,0.624,6.458,98.9,18.8,12.6,8.984,13.1536,25,2.1175,1,0,0,0
19.6,0.7852431092803438,51.89,0.624,6.326,97.7,18.8,12.26,7.592,12.1568,29,2.27,1,0,0,0
23.0,0.4637654622785885,51.89,0.624,6.372,97.9,18.8,11.12,8.96,12.184,57,2.3275,1,0,1,0
18.4,0.2850435947287374,51.89,0.624,5.822,95.4,18.8,15.03,10.268,10.1472,58,2.4725,1,0,1,0
15.6,0.6811606280137663,51.89,0.624,5.757,98.4,18.8,17.31,9.012,11.1248,32,2.3475,0,0,1,0
18.1,0.4432617308027308,51.89,0.624,6.335,98.2,18.8,16.96,7.862,11.1448,37,2.11,1,0,0,1
17.4,0.2796297392609526,51.89,0.624,5.942,93.5,18.8,16.9,10.148,10.1392,37,1.9675,0,0,0,1
17.1,0.3018290306776389,51.89,0.624,6.454,98.4,18.8,14.59,6.942,11.1368,40,1.85,1,0,0,0
13.3,0.2229835385128442,51.89,0.624,5.857,98.2,18.8,21.32,8.066,14.1064,39,1.6675,0,0,0,1
17.8,0.4347131824671496,51.89,0.624,6.151,97.9,18.8,18.46,8.656,10.1424,29,1.6675,1,1,0,0
14.0,0.2553396495305265,51.89,0.624,6.174,93.6,18.8,24.16,5.68,10.112,28,1.6125,0,1,0,0
14.4,0.9664666021758896,51.89,0.624,5.019,100.0,18.8,34.41,9.988,12.1152,43,1.44,1,0,0,0
13.4,1.4634984282783583,49.58,0.871,5.403,100.0,25.3,26.82,5.268,13.1072,42,1.3224999999999998,1,0,0,1
15.6,1.6287306058145097,49.58,0.871,5.468,100.0,25.3,26.42,7.312,13.1248,25,1.4125,1,0,0,0
11.8,1.3296552241970494,49.58,0.871,4.903,97.8,25.3,29.29,6.636,13.0944,52,1.3450000000000002,1,0,0,1
13.8,1.2176804241557977,49.58,0.871,6.13,100.0,25.3,27.8,7.776,10.1104,59,1.42,1,0,0,1
15.6,1.1490043437281394,49.58,0.871,5.628,100.0,25.3,16.65,5.612,10.1248,32,1.515,1,0,0,1
14.6,1.2145031649491107,49.58,0.871,4.926,95.7,25.3,29.53,6.892,11.1168,24,1.46,0,0,0,0
17.8,1.2032695571055652,49.58,0.871,5.186,93.8,25.3,28.32,9.856,14.1424,43,1.5325,0,1,0,0
15.4,1.317472010807663,49.58,0.871,5.597,94.9,25.3,21.45,10.108,15.1232,48,1.5225,0,0,0,0
21.5,0.977047109716266,49.58,0.871,6.122,97.3,25.3,14.1,5.53,12.172,34,1.6175,0,0,0,1
19.6,0.9148176474178112,49.58,0.871,5.404,100.0,25.3,13.28,6.492,11.1568,42,1.59,0,0,0,1
15.3,0.7545150555070919,49.58,0.871,5.012,88.0,25.3,12.12,5.406,10.1224,46,1.61,1,0,0,0
19.4,1.1471421014887528,49.58,0.871,5.709,98.5,25.3,15.79,6.088,12.1552,58,1.6225,0,0,0,0
17.0,0.8812229832136547,49.58,0.871,6.129,96.0,25.3,15.12,7.44,15.136,48,1.7475,0,0,1,0
15.6,1.5118272886363335,49.58,0.871,6.152,82.6,25.3,15.02,9.912,11.1248,37,1.7475,0,0,0,1
13.1,1.2374114488766446,49.58,0.871,5.272,94.0,25.3,16.14,6.362,10.1048,60,1.735,0,0,0,1
41.3,0.7991185096332699,49.58,0.605,6.943,97.4,25.3,4.59,8.226,13.3304,57,1.8775,1,0,0,0
24.3,0.8513638686748987,49.58,0.605,6.066,100.0,25.3,6.43,8.886,13.1944,46,1.7575,0,0,0,1
23.3,0.8858397717781171,49.58,0.871,6.51,100.0,25.3,7.39,7.166,12.1864,36,1.7675,1,1,0,0
27.0,0.8213029001101178,49.58,0.605,6.25,92.6,25.3,5.5,8.44,12.216,23,1.7999999999999998,1,1,0,0
50.0,0.9015262716731894,49.58,0.605,7.489,90.8,25.3,1.73,10.5,11.4,35,1.97,1,0,0,0
50.0,1.0416079806003151,49.58,0.605,7.802,98.2,25.3,1.92,8.4,12.4,22,2.0424999999999995,1,1,0,0
50.0,0.923869936997549,49.58,0.605,8.375,93.9,25.3,3.32,8.0,12.4,57,2.1625,1,0,0,1
22.7,1.176301459715032,49.58,0.605,5.854,91.8,25.3,11.64,8.354,15.1816,56,2.4225,1,1,0,0
25.0,1.3671115417031166,49.58,0.605,6.101,93.0,25.3,9.81,10.0,12.2,22,2.2825,1,0,0,1
50.0,1.1020031996922046,49.58,0.605,7.929,96.2,25.3,3.7,8.3,15.4,37,2.0475,1,0,0,1
23.8,1.0297194121814914,49.58,0.605,5.877,79.2,25.3,12.14,10.076,10.1904,22,2.4250000000000003,1,1,0,0
23.8,1.194043673248051,49.58,0.605,6.319,96.1,25.3,11.1,6.676,11.1904,23,2.1,0,0,0,0
22.3,1.2382379898788043,49.58,0.605,6.402,95.2,25.3,11.32,5.546,15.1784,22,2.2625,0,0,1,0
17.4,0.7918244127486899,49.58,0.605,5.875,94.6,25.3,14.43,7.948,11.1392,28,2.425,0,1,0,0
19.1,1.1981257435340087,49.58,0.605,5.88,97.3,25.3,12.03,9.782,12.1528,54,2.39,0,0,0,1
23.1,0.1302735917492122,34.05,0.51,5.572,88.5,23.4,14.69,9.362,12.1848,38,2.5975,0,0,0,1
23.6,0.0878093918244082,34.05,0.51,6.416,84.1,23.4,9.04,9.872,10.1888,59,2.6475,1,0,0,0
22.6,0.0810913883848885,34.05,0.51,5.859,68.7,23.4,9.64,9.752,15.1808,35,2.7025,1,0,0,1
29.4,0.0645135208250659,34.05,0.51,6.546,33.1,23.4,5.33,6.188,12.2352,48,3.13,1,0,0,0
23.2,0.0678642348161299,34.05,0.51,6.02,47.2,23.4,10.11,8.564,15.1856,49,3.555,1,1,0,0
24.6,0.0528296136445321,34.05,0.51,6.315,73.4,23.4,6.29,7.092,14.1968,31,3.32,1,1,0,0
29.9,0.0643072443951669,34.05,0.51,6.86,74.4,23.4,6.92,5.898,11.2392,28,2.9125,0,0,0,0
37.2,0.0561912796497425,32.46,0.488,6.98,58.4,22.2,5.04,9.744,11.2976,50,2.83,0,1,0,0
39.8,0.0638007490506618,32.46,0.488,7.765,83.3,22.2,7.56,8.496,14.3184,60,2.74,1,0,1,0
36.2,0.0666113712985015,32.46,0.488,6.144,62.2,22.2,9.45,6.624,15.2896,59,2.5975,1,0,0,1
37.9,0.0871222041814029,32.46,0.488,7.155,92.2,22.2,4.82,9.258,15.3032,56,2.6975,1,0,0,1
32.5,0.0953829044325522,32.46,0.488,6.563,95.6,22.2,5.68,7.35,14.26,60,2.845,1,1,0,0
26.4,0.0798088341734151,32.46,0.488,5.604,89.8,22.2,13.98,9.928,10.2112,27,2.99,1,1,0,0
29.6,0.0587122060793317,32.46,0.488,6.153,68.8,22.2,13.15,8.192,11.2368,45,3.28,1,1,0,0
50.0,0.054507124498661,32.46,0.488,7.831,53.6,22.2,4.45,6.0,13.4,35,3.2,1,1,0,0
32.0,0.0758029634155007,33.44,0.437,6.782,41.1,24.8,6.68,7.84,13.256,23,3.7875,1,0,0,1
29.8,0.1184850114359459,33.44,0.437,6.556,29.1,24.8,4.56,7.596,10.2384,40,4.5675,1,0,0,1
34.9,0.0803811119468123,33.44,0.437,7.185,38.9,24.8,5.39,9.298,14.2792,20,4.5675,0,0,0,1
33.0,0.0868013549365423,33.44,0.437,6.951,21.5,24.8,5.1,6.16,11.264,55,6.48,0,0,0,0
30.5,0.0668265266555305,33.44,0.437,6.739,30.8,24.8,4.69,8.81,11.244,40,6.48,0,0,0,0
36.4,0.0830903665320983,33.44,0.437,7.178,26.3,24.8,2.87,10.528,11.2912,40,6.4775,1,1,0,0
31.1,0.0216342821251497,32.93,0.401,6.8,9.9,24.4,5.03,6.822,13.2488,24,6.22,0,0,0,1
29.1,0.0142874466080694,32.93,0.401,6.604,18.8,24.4,4.38,9.282,14.2328,59,6.22,0,0,0,1
50.0,0.0137155108859413,30.46,0.422,7.875,32.0,25.6,2.97,8.2,14.4,26,5.65,1,0,0,1
33.3,0.0393264767908799,31.52,0.404,7.287,34.1,27.4,4.08,7.266,15.2664,20,7.31,1,0,1,0
30.3,0.0456041418050157,31.52,0.404,7.107,36.6,27.4,8.61,6.906,14.2424,24,7.31,1,0,1,0
34.6,0.0369874520502805,31.52,0.404,7.274,38.3,27.4,6.62,10.192,14.2768,43,7.31,0,1,0,0
34.9,0.0310140535291695,31.47,0.403,6.975,15.3,23.0,4.56,7.998,13.2792,24,7.6525,1,0,0,0
32.9,0.0176237847535493,31.47,0.403,7.135,13.9,23.0,4.45,5.958,10.2632,22,7.6525,0,1,0,0
24.1,0.0338698845076152,32.03,0.415,6.162,38.4,25.3,7.43,7.782,12.1928,32,6.2725,1,0,0,1
42.3,0.0215364175305246,32.03,0.415,7.61,15.7,25.3,3.11,10.546,14.3384,30,6.2675,0,0,1,0
48.5,0.0344980404075673,32.68,0.4161,7.853,33.2,25.3,3.81,8.77,11.388,22,5.1175,0,0,0,0
50.0,0.0198908586977927,32.68,0.4161,8.034,31.9,25.3,2.88,8.9,15.4,51,5.120000000000001,1,0,0,1
22.6,0.1278829702798455,40.59,0.489,5.891,22.3,21.4,10.87,7.952,15.1808,26,3.9475,1,0,0,1
24.4,0.2067621050984678,40.59,0.489,6.326,52.5,21.4,10.97,6.688,11.1952,52,4.3575,1,0,0,1
22.5,0.2247342854255614,40.59,0.489,5.783,72.7,21.4,18.06,7.95,10.18,38,4.3525,1,0,0,0
24.4,0.1273988771308717,40.59,0.489,6.064,59.1,21.4,14.66,6.888,14.1952,31,4.24,1,0,0,0
20.0,0.3616595003706893,40.59,0.489,5.344,100.0,21.4,23.09,7.9,13.16,60,3.875,0,0,0,0
21.7,0.1608084674913248,40.59,0.489,5.96,92.1,21.4,17.27,8.034,12.1736,36,3.875,1,0,0,0
19.3,0.319020843007457,40.59,0.489,5.404,88.6,21.4,23.98,5.986,14.1544,39,3.665,0,0,0,1
22.4,0.1965449234301974,40.59,0.489,5.807,53.8,21.4,16.03,6.848,13.1792,20,3.6525,1,0,0,1
28.1,0.131484298756896,40.59,0.489,6.375,32.3,21.4,9.38,7.562,10.2248,6,3.945,1,0,0,0
23.7,0.2542933203064257,40.59,0.489,5.412,9.8,21.4,29.55,5.674,11.1896,21,3.59,1,0,0,0
25.0,0.1806701940447242,40.59,0.489,6.182,42.4,21.4,9.47,7.9990000000000006,12.2,30,3.9475000000000007,1,1,0,0
23.3,0.0445908833278752,43.89,0.55,5.888,56.0,23.6,13.51,5.466,12.1864,22,3.1125,1,0,1,0
28.7,0.0677801364209581,43.89,0.55,6.642,85.1,23.6,9.69,9.274,14.2296,23,3.42,0,0,0,0
21.5,0.1049814438191744,43.89,0.55,5.951,93.8,23.6,17.92,8.73,14.172,49,2.89,1,0,0,0
23.0,0.1081815328445281,43.89,0.55,6.373,92.4,23.6,10.5,6.16,13.184,21,3.365,1,0,0,0
26.7,0.3060793008727377,36.2,0.507,6.951,88.5,22.6,9.71,8.734,11.2136,23,2.86,0,0,0,1
21.7,0.341964270612869,36.2,0.507,6.164,91.3,22.6,21.46,5.734,14.1736,37,3.0475,1,0,0,0
27.5,0.4846212690691168,36.2,0.507,6.879,77.7,22.6,9.93,9.45,12.22,50,3.2725,1,0,1,0
30.1,0.4791491809054383,36.2,0.507,6.618,80.8,22.6,7.6,9.702,12.2408,39,3.27,1,0,0,1
44.8,0.2740875847172426,36.2,0.504,8.266,78.3,22.6,4.14,6.796,12.3584,47,2.895,1,1,0,0
50.0,0.4232591836664219,36.2,0.504,8.725,83.0,22.6,4.63,7.5,13.4,20,2.8925,1,0,0,1
37.6,0.323633022674933,36.2,0.504,8.04,86.5,22.6,3.13,5.952,10.3008,54,3.215,1,0,1,0
